material_id,formula,energy_above_hull (eV/atom),energy_per_atom (eV/atom),density (g/cm³),band_gap (eV),bulk_modulus_K_VRH (GPa),shear_modulus_G_VRH (GPa),youngs_modulus_E(GPa),epsilon(k),epsilon_var,epsilon_delta,epsilon_ratio
mp-722900,CaH3NO5,0.0,-6.15152106325,2.084987902501096,3.4578,,,,,,,
mp-1193655,CaH6(SO4)4,0.0,-6.179015636666667,2.173948608794296,5.8984000000000005,,,,,,,
mp-34932,CaHN,0.0,-7.433647743333334,2.588778361360527,2.192999999999999,,,,4.575010273333333,0.015754401842538533,0.2662607899999987,1.0605481758980368
mp-2713912,CaHf(SO4)3,0.0,-7.448834372352941,3.057248802201881,4.6781,,,,,,,
mp-1029359,CaHfN2,0.0,-19.487347285,7.890793104034891,0.543299999999999,168.68192989264003,123.33546065129309,297.49880798606637,9.493640050000003,0.8151253354441801,1.9152213519251973,1.2330852615426071
mp-754853,CaHfO3,0.0,-9.182272448,7.017975204441195,4.4855,,,,4.359669353333334,0.0009104481643291712,0.07030242000000086,1.016281495938671
mp-560622,CaLa2B10O19,0.0,-8.543698463437499,3.576261246809263,4.3132,,,,,,,
mp-1227220,CaLa4Si3O13,0.0,-8.599833934761905,4.999019103821489,4.4836,,,,,,,
mp-861643,CaLaMg2,0.0,-2.6454977025,3.017366894027894,0.0,29.66666666666667,17.780239520958084,44.45882471694622,,,,
mp-684801,CaLaMgTaO6,0.0,-8.5479749005,6.304460340892075,4.185700000000001,,,,,,,
mp-6459,CaMg(CO3)2,0.0,-7.747362902000001,2.8700109673651353,5.0091,89.60589569160997,42.32555020357513,109.7037166169931,2.7517189933333355,0.08402871438740363,0.6149227274406184,1.2625887630992108
mp-6766,CaMg(SiO3)2,0.0,-7.7613118765,3.149491306438381,4.9716000000000005,102.15779064734241,64.87637226952337,160.62658622013353,2.987460943333335,0.0036775095765853674,0.14314952382988677,1.048900948716299
mp-1183430,CaMg2,0.0,-5.24313199,1.738068158187664,0.0,,,,,,,
mp-1229186,CaMg2(SO4)3,0.0,-6.779394035138888,2.883990600586369,6.8686,,,,,,,
mp-5795,CaMg2N2,0.0,-7.72367433,2.952859396136397,1.9968999999999992,101.71527777777777,74.16262983946272,178.98691710112178,5.85583472,0.06120483383010104,0.5248073186543687,1.0923810439906356
mp-1019579,CaMg3SiN4,0.0,-6.229972947361111,2.938699474492667,2.4021,,,,,,,
mp-5473,CaMgSi,0.0,-3.423066137499999,2.248583050515109,0.0,50.619194945400665,40.81993301013706,96.5159273803581,,,,
mp-6493,CaMgSiO4,0.0,-7.482815064642857,2.957136984745377,4.6294,100.576864576623,54.83973351370021,139.2165086841924,,,,
mp-1009657,CaN2,0.0,-9.07119737,2.956401288995216,0.0,82.80492063492062,39.16340566500813,101.48998627956286,,,,
mp-2605,CaO,0.0,-6.7827998350000005,3.353083748678994,3.6301,105.66666666666667,74.19349593495934,180.36602184683935,3.784006893333327,7.34366626645141e-13,2.097334887984914e-06,1.000000554263117
